MATNR,YE49_plus_7
ID981461,"33,75"
G19798,"117,87"
G28797001,"60,62"
G47295,"48,37"
G36274,"159,68"
ID796842,"1248,56"
ID1022010,"56,06"
ID1002124,"17,84"
G23061,"327,09"
ID1001106,"12,05"
G45652MC,"3,69"
G40430,"72,28"
G28145,"12,37"
G38846MW,"146,94"
G43791P,"4,44"
G43907,"40,49"
G43405,"46,45"
G41263,"5,54"
G43043,"2,94"
G01276P,"6,63"
G37749EST,"349,71"
G46081,"6,63"
G14001,"68,05"
G20304,"210,85"
G36333,"315,89"
ID981485,"43,75"
G34018,"318,12"
G13993,"5,64"
G27274,"53,99"
G27190,"49,76"
G33547002,"191,53"
G33555002,"43,56"
G20414CG,"266,98"
G21107CG,"260,91"
G36078,"62,80"
G27750,"122,53"
G27472,"717,57"
G47533,"16,82"
ID777558,"133,78"
ID975035,"263,69"
ID931706,"117,88"
G27762,"76,91"
G27930,"83,70"
ID796618,"36,94"
ID796894,"82,34"
ID796824,"29,35"
ID796832,"1130,55"
ID796841,"411,25"
ID796657,"112,01"
ID936963,"46,97"
ID647435,"84,16"
ID952582,"1345,29"
ID1001094,"9,36"
G47837,"34,28"
G06388,"12,23"
G08355P,"86,10"
FG32723,"101,58"
G40621SST,"29,19"
G43199,"18,51"
G22013,"21,51"
G29708,"132,34"
G11551,"35,96"
ID979833,"33,76"
ID796612,"7,82"
ID796835,"1182,29"
ID796903,"60,79"
ID975027,"158,91"
G12004,"13,97"
G13139,"109,23"
G14014,"25,28"
G21044,"363,75"
ID1001983,"14,25"
G33553002,"139,12"
ID1004704,"329,45"
ID1022000,"82,95"
ID1022005,"43,15"
ID1002120,"21,97"
ID1004721,"38,43"
ID1021985,"88,80"
ID1002025,"23,99"
ID1002088,"12,36"
ID955541,"244,38"
ID952576,"105,23"
G28364,"7,65"
ID771311,"48,70"
ID1002121,"21,97"
G31161,"101,90"
G46104,"25,21"
ID728912,"287,02"
ID1028813,"197,19"
ID955543,"50,17"
G43048MC,"70,37"
G03154P,"8,42"
ID1004724,"112,68"
G28900,"63,87"
G38652,"68,34"
G46257,"53,25"
G38748,"351,41"
G22012,"21,51"
G46062,"23,15"
ID948928,"318,49"
G32212001,"127,58"
G28964001,"141,34"
ID1004783,"696,63"
G11090,"12,97"
G13301,"694,59"
G12420,"35,06"
ID728891,"78,66"
G43733,"1,61"
ID796941,"272,99"
G43537,"14,02"
G27355,"54,57"
G38559001,"85,81"
G30484,"27,33"
G20143,"432,38"
G40305,"64,27"
ID931700,"178,54"
ID1004720,"36,86"
ID1004768,"130,99"
G47111,"126,27"
G32176,"383,78"
G40212,"35,21"
ID1007540,"6,74"
ID955672,"115,99"
G13242,"145,35"
G34203,"271,05"
G18349W,"18,45"
G40514,"44,38"
ID961260,"875,66"
G27243001,"59,93"
G23318,"820,94"
G38525001,"173,33"
ID981501,"12,14"
G45652,"6,59"
G30193SST,"94,98"
ID1002019,"15,07"
G45652W,"8,76"
ID796785,"75,86"
ID952589,"176,45"
G23141,"156,76"
G37419,"346,21"
ID1005398,"40,29"
G40632,"119,34"
ID950407,"56,72"
G28190,"134,04"
ID796715,"231,99"
ID796635,"114,58"
G20201,"46,32"
ID936568,"46,07"
ID981507,"8,43"
ID605396,"53,13"
ID754859,"17,34"
ID931702,"171,74"
ID952569,"95,66"
ID936561,"27,00"
ID974976,"123,77"
ID975037,"49,98"
G19507002,"96,33"
G20008,"505,18"
G01389P,"4,13"
G06106,"44,97"
